var1(t-1),var2(t-1),var1(t+29),var2(t+29)
4200580000.0,2246.189941,3810960000.0,2280.070068
3884480000.0,2259.530029,3846020000.0,2298.370117
4034510000.0,2256.959961,3610360000.0,2296.679932
3857590000.0,2271.719971,3135890000.0,2294.689941
4406970000.0,2253.280029,3591270000.0,2280.899902
4168200000.0,2262.030029,4087450000.0,2278.870117
5920340000.0,2258.070068,3916610000.0,2279.550049
3248370000.0,2262.530029,3807710000.0,2280.850098
3298780000.0,2270.76001,3597970000.0,2297.419922
2852230000.0,2265.179932,3109050000.0,2292.560059
2876320000.0,2260.959961,3448690000.0,2293.080078
2020550000.0,2263.790039,3609740000.0,2294.669922
1987080000.0,2268.879883,3677940000.0,2307.870117
2392360000.0,2249.919922,3475020000.0,2316.100098
2336370000.0,2249.26001,3349730000.0,2328.25
2670900000.0,2238.830078,3520910000.0,2337.580078
3770530000.0,2257.830078,3775590000.0,2349.25
3764890000.0,2270.75,3672370000.0,2347.219971
3761820000.0,2269.0,3513060000.0,2351.159912
3339890000.0,2276.97998,3579780000.0,2365.379883
3217610000.0,2268.899902,3468670000.0,2362.820068
3638790000.0,2268.899902,4015260000.0,2363.810059
3620410000.0,2275.320068,3831570000.0,2367.340088
3462130000.0,2270.439941,3582610000.0,2369.75
3081270000.0,2274.639893,4210140000.0,2363.639893
3584990000.0,2267.889893,4345180000.0,2395.959961
3315250000.0,2271.889893,3821320000.0,2381.919922
3165970000.0,2263.689941,3555260000.0,2383.120117
3524970000.0,2271.310059,3232700000.0,2375.310059
3152710000.0,2265.199951,3518390000.0,2368.389893
3810960000.0,2280.070068,3812100000.0,2362.97998
3846020000.0,2298.370117,3716340000.0,2364.870117
3610360000.0,2296.679932,3432950000.0,2372.600098
3135890000.0,2294.689941,3133900000.0,2373.469971
3591270000.0,2280.899902,3172630000.0,2365.449951
4087450000.0,2278.870117,3906840000.0,2385.26001
3916610000.0,2279.550049,3365660000.0,2381.379883
3807710000.0,2280.850098,5178040000.0,2378.25
3597970000.0,2297.419922,3054930000.0,2373.469971
3109050000.0,2292.560059,4265590000.0,2344.02002
3448690000.0,2293.080078,3572730000.0,2348.449951
3609740000.0,2294.669922,3260600000.0,2345.959961
3677940000.0,2307.870117,2975130000.0,2343.97998
3475020000.0,2316.100098,3240230000.0,2341.590088
3349730000.0,2328.25,3367780000.0,2358.570068
3520910000.0,2337.580078,3106940000.0,2361.129883
