b'ticker,dimension,datekey,revenue\n'
b'CSCO,MRQ,2013-01-26,12098000000\n'
b'CSCO,MRQ,2013-04-27,12216000000\n'
b'CSCO,MRQ,2013-07-27,12417000000\n'
b'CSCO,MRQ,2013-10-26,12085000000\n'
b'CSCO,MRQ,2014-01-25,11155000000\n'
b'CSCO,MRQ,2014-04-26,11545000000\n'
b'CSCO,MRQ,2014-07-26,12357000000\n'
b'CSCO,MRQ,2014-10-25,12245000000\n'
b'CSCO,MRQ,2015-01-24,11936000000\n'
b'CSCO,MRQ,2015-04-25,12137000000\n'
b'CSCO,MRQ,2015-07-25,12843000000\n'
b'CSCO,MRQ,2015-10-24,12682000000\n'
b'CSCO,MRQ,2016-01-23,11927000000\n'
b'CSCO,MRQ,2016-04-30,12000000000\n'
b'CSCO,MRQ,2016-07-30,12638000000\n'
b'CSCO,MRQ,2016-10-29,12352000000\n'
b'CSCO,MRQ,2017-01-28,11580000000\n'
b'CSCO,MRQ,2017-04-29,11940000000\n'
b'CSCO,MRT,2001-07-28,22293000000\n'
b'CSCO,MRT,2001-10-27,20222000000\n'
b'CSCO,MRT,2002-01-26,18290000000\n'
b'CSCO,MRT,2002-04-27,18384000000\n'
b'CSCO,MRT,2002-07-27,18915000000\n'
b'CSCO,MRT,2002-10-26,19312000000\n'
b'CSCO,MRT,2003-01-25,19209000000\n'
b'CSCO,MRT,2003-04-26,19005000000\n'
b'CSCO,MRT,2003-07-26,18878000000\n'
b'CSCO,MRT,2003-10-25,19134000000\n'
b'CSCO,MRT,2004-01-24,19819000000\n'
b'CSCO,MRT,2004-05-01,20821000000\n'
b'CSCO,MRT,2004-07-31,22045000000\n'
b'CSCO,MRT,2004-10-30,22915000000\n'
b'CSCO,MRT,2005-01-29,23579000000\n'
b'CSCO,MRT,2005-04-30,24146000000\n'
b'CSCO,MRT,2005-07-30,24801000000\n'
b'CSCO,MRT,2005-10-29,25380000000\n'
b'CSCO,MRT,2006-01-28,25946000000\n'
b'CSCO,MRT,2006-04-29,27081000000\n'
b'CSCO,MRT,2006-07-29,28484000000\n'
b'CSCO,MRT,2006-10-28,30118000000\n'
b'CSCO,MRT,2007-01-27,31929000000\n'
b'CSCO,MRT,2007-04-28,33473000000\n'
b'CSCO,MRT,2007-07-28,34922000000\n'
b'CSCO,MRT,2007-10-27,36292000000\n'
b'CSCO,MRT,2008-01-26,37684000000\n'
b'CSCO,MRT,2008-04-26,38609000000\n'
b'CSCO,MRT,2008-07-26,39540000000\n'
b'CSCO,MRT,2008-10-25,40317000000\n'
b'CSCO,MRT,2009-01-24,39575000000\n'
b'CSCO,MRT,2009-04-25,37946000000\n'
b'CSCO,MRT,2009-07-25,36117000000\n'
b'CSCO,MRT,2009-10-24,34807000000\n'
b'CSCO,MRT,2010-01-23,35533000000\n'
b'CSCO,MRT,2010-05-01,37739000000\n'
b'CSCO,MRT,2010-07-31,40040000000\n'
b'CSCO,MRT,2010-10-30,41769000000\n'
b'CSCO,MRT,2011-01-29,42361000000\n'
b'CSCO,MRT,2011-04-30,42859000000\n'
b'CSCO,MRT,2011-07-30,43218000000\n'
b'CSCO,MRT,2011-10-29,43724000000\n'
b'CSCO,MRT,2012-01-28,44844000000\n'
b'CSCO,MRT,2012-04-28,45566000000\n'
b'CSCO,MRT,2012-07-28,46061000000\n'
b'CSCO,MRT,2012-10-27,46681000000\n'
b'CSCO,MRT,2013-01-26,47252000000\n'
b'CSCO,MRT,2013-04-27,47880000000\n'
b'CSCO,MRT,2013-07-27,48607000000\n'
b'CSCO,MRT,2013-10-26,48816000000\n'
b'CSCO,MRT,2014-01-25,47873000000\n'
b'CSCO,MRT,2014-04-26,47202000000\n'
b'CSCO,MRT,2014-07-26,47142000000\n'
b'CSCO,MRT,2014-10-25,47302000000\n'
b'CSCO,MRT,2015-01-24,48083000000\n'
b'CSCO,MRT,2015-04-25,48675000000\n'
b'CSCO,MRT,2015-07-25,49161000000\n'
b'CSCO,MRT,2015-10-24,49598000000\n'
b'CSCO,MRT,2016-01-23,49589000000\n'
b'CSCO,MRT,2016-04-30,49452000000\n'
b'CSCO,MRT,2016-07-30,49247000000\n'
b'CSCO,MRT,2016-10-29,48917000000\n'
b'CSCO,MRT,2017-01-28,48570000000\n'
b'CSCO,MRT,2017-04-29,48510000000\n'
b'CSCO,MRY,2001-07-28,22293000000\n'
b'CSCO,MRY,2002-07-27,18915000000\n'
b'CSCO,MRY,2003-07-26,18878000000\n'
b'CSCO,MRY,2004-07-31,22045000000\n'
b'CSCO,MRY,2005-07-30,24801000000\n'
b'CSCO,MRY,2006-07-29,28484000000\n'
b'CSCO,MRY,2007-07-28,34922000000\n'
b'CSCO,MRY,2008-07-26,39540000000\n'
b'CSCO,MRY,2009-07-25,36117000000\n'
b'CSCO,MRY,2010-07-31,40040000000\n'
b'CSCO,MRY,2011-07-30,43218000000\n'
b'CSCO,MRY,2012-07-28,46061000000\n'
b'CSCO,MRY,2013-07-27,48607000000\n'
b'CSCO,MRY,2014-07-26,47142000000\n'
b'CSCO,MRY,2015-07-25,49161000000\n'
b'CSCO,MRY,2016-07-30,49247000000\n'
b'CSCO,ARQ,2017-09-07,12133000000\n'
b'CSCO,ART,2017-09-07,48005000000\n'
b'CSCO,ARY,2017-09-07,48005000000\n'
b'CSCO,MRQ,2017-07-29,12133000000\n'
b'CSCO,MRT,2017-07-29,48005000000\n'
b'CSCO,MRY,2017-07-29,48005000000\n'
